Symbol,Sector,Entry Date,Exit Date,Trade Type,Hold Bucket,Period_of_Holding,Quantity,Avg Buy Price,Avg Sell Price,Buy_Value,Sell_Value,Profit,Return %,Return Bucket,Outcome,Is Corp Action
KANSAINER,Paints,2024-12-20,2025-04-21,Short Term,3-6 months,122,50,261.9,267.2386,13095.0,13361.93,266.93,2.038411607483775,Flat (-5 to +5%),WIN,False
IDFCFIRSTB,Pvt Banks,2025-01-03,2025-04-23,Short Term,3-6 months,110,200,65.5,68.77,13100.0,13754.0,654.0,4.99236641221374,Flat (-5 to +5%),WIN,False
RBLBANK,Pvt Banks,2024-03-19,2025-04-28,Long Term,12+ months,405,50,221.5,203.23,11075.0,10161.5,-913.5,-8.248306997742663,Loss (-5 to -20%),LOSS,False
RBLBANK,Pvt Banks,2024-08-02,2025-04-28,Short Term,6-12 months,269,50,229.18,203.23,11459.0,10161.5,-1297.5,-11.32297757221398,Loss (-5 to -20%),LOSS,False
BEL,Defence,2024-08-06,2025-05-14,Short Term,6-12 months,281,50,298.8,340.05,14940.0,17002.5,2062.5,13.805220883534137,Modest Win (5-20%),WIN,False
MAHABANK,PSU Banks,2024-10-14,2025-06-02,Short Term,6-12 months,231,101,54.77,57.970000000000006,5531.77,5854.97,323.2,5.84261457002008,Modest Win (5-20%),WIN,False
BRITANNIA,FMCG,2024-11-12,2025-06-03,Short Term,6-12 months,203,2,5250.0,5550.0,10500.0,11100.0,600.0,5.714285714285714,Modest Win (5-20%),WIN,False
PNB,PSU Banks,2024-10-11,2025-06-09,Short Term,6-12 months,241,150,104.35,112.32,15652.5,16848.0,1195.5,7.637757546717777,Modest Win (5-20%),WIN,False
PNB,PSU Banks,2024-08-07,2025-06-09,Short Term,6-12 months,306,150,115.64,112.32,17346.0,16848.0,-498.0,-2.87097890003459,Flat (-5 to +5%),LOSS,False
HINDPETRO,Oil & Gas,2024-10-28,2025-06-12,Short Term,6-12 months,227,25,386.5,399.1,9662.5,9977.5,315.0,3.260025873221216,Flat (-5 to +5%),WIN,False
ADANIPORTS,Infrastructure,2024-08-06,2025-06-13,Short Term,6-12 months,311,15,1520.7,1400.7,22810.5,21010.5,-1800.0,-7.89110278161373,Loss (-5 to -20%),LOSS,False
ADANIPORTS,Infrastructure,2024-03-13,2025-06-13,Long Term,12+ months,457,15,1202.4,1400.7,18036.0,21010.5,2974.5,16.49201596806387,Modest Win (5-20%),WIN,False
ADANIPORTS,Infrastructure,2024-06-04,2025-06-13,Long Term,12+ months,374,10,1233.075,1400.7,12330.75,14007.0,1676.25,13.594063621434218,Modest Win (5-20%),WIN,False
ADANIPORTS,Infrastructure,2024-06-13,2025-06-13,Long Term,12+ months,365,15,1402.5,1400.7,21037.5,21010.5,-27.0,-0.1283422459893048,Flat (-5 to +5%),LOSS,False
ADANIPORTS,Infrastructure,2023-10-27,2025-06-13,Long Term,12+ months,595,25,777.6,1416.14,19440.0,35403.5,15963.5,82.1167695473251,Big Win (>50%),WIN,False
ADANIPORTS,Infrastructure,2025-06-20,2025-06-24,Short Term,<1 month,4,10,1340.0,1404.7,13400.0,14047.0,647.0,4.828358208955224,Flat (-5 to +5%),WIN,False
RBLBANK,Pvt Banks,2024-12-20,2025-06-24,Short Term,6-12 months,186,100,153.47,237.0,15347.0,23700.0,8353.0,54.42757542190656,Big Win (>50%),WIN,False
BRITANNIA,FMCG,2024-11-12,2025-06-25,Short Term,6-12 months,225,1,5250.0,5649.3,5250.0,5649.3,399.3,7.605714285714289,Modest Win (5-20%),WIN,False
RPOWER,Power,2025-06-20,2025-06-25,Short Term,<1 month,5,100,62.95,64.57,6295.0,6457.0,162.0,2.573471008737093,Flat (-5 to +5%),WIN,False
PARAGMILK,FMCG,2024-10-30,2025-06-27,Short Term,6-12 months,240,50,197.655,222.008,9882.75,11100.4,1217.65,12.320963294629529,Modest Win (5-20%),WIN,False
